#Most keys defined in the ...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
machine_parts_factory;Machine Parts Factory;Usine de pi�ces m�caniques;Maschinenteilefabrik;;;;;;;;;;;
machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Bronze and Coal are required to produce them.;;;;;;;;;;;;;
synthetic_oil_factory;Synthetic Oil Factory;Usine d'huile de synth�se;Synthese�lfabrik;;;;;;;;;;;
synthetic_oil_factory_desc;Using coal, the synthetic oil factory produces oil out of that coal. Vital for nations that do not have ready access to oil.;L'usine d'huile de synth�se produit de l'huile � partir de charbon. Cette huile est vitale pour les nations qui n'ont pas acc�s au p�trole.;Die Synthese�lfabrik produziert �l aus Kohle. Unerl�sslich f�r Nationen, die keinen Zugang zu �lvorkommen haben.;;;;;;;;;;;
fuel_refinery;Fuel Refinery;Raffinerie de p�trole;Treibstoffraffinerie;;;;;;;;;;;
fuel_refinery_desc;The fuel factory processes oil into fuel for automobiles.;La raffinerie transforme le p�trole en carburant pour les automobiles.;Die Treibstoffraffinerie verarbeitet �l zu Treibstoffen f�r Automobile.;;;;;;;;;;;
steamer_shipyard;Steamer Shipyard;Chantier de construction de steamers;Dampferwerft;;;;;;;;;;;
steamer_shipyard_desc;Steamers are a huge improvement over clippers because they are independent from wind and can also be built bigger and sturdier. Steel and coal are the prerequisites for steamers.;Les bateaux � vapeur, ou steamers, constituent un progr�s majeur par rapport aux bateaux � voile, car ils ne d�pendent pas du vent. De plus, ils peuvent �tre plus grands et plus robustes. L'acier et le charbon sont indispensables aux steamers.;Dampfer stellen eine gewaltige Verbesserung gegen�ber den Klippern dar, da sie windunabh�ngig und gr��er sind und stabiler gebaut werden k�nnen. F�r den Dampferbau sind Stahl und Kohle erforderlich.;;;;;;;;;;;
clipper_shipyard;Clipper Shipyard;Chantier de construction de clippers;Klipperwerft;;;;;;;;;;;
clipper_shipyard_desc;Clippers are simple commercial ships using sails and wind for movement. Fabric and lumber are needed in this shipyard.;Les clippers sont de simples navires commerciaux qui utilisent leurs voiles et le vent pour se d�placer. Ce chantier naval a besoin de tissus et de bois.;Klipper sind einfache Handelssegler. Ihre Werften brauchen Stoff und Holz.;;;;;;;;;;;
steel_factory;Steel Factory;Aci�rie;Stahlfabrik;;;;;;;;;;;
steel_factory_desc;Here, Iron and Coal are used to produce steel. Steel is used to produce weapons, railways, and a wide range of other buildings and items.;Du fer et du charbon sont ici utilis�s pour produire de l'acier. L'acier permet de fabriquer des armes, des voies ferr�es ainsi qu'un large �ventail de b�timents et autres �l�ments.;Hier werden Eisen und Kohle zur Stahlproduktion eingesetzt. Stahl wird bei der Produktion Bau von Waffen, Eisenbahnschienen und einer breiten Palette anderer Geb�ude und Gegenst�nde eingesetzt.;;;;;;;;;;;
artillery_factory;Steel Artillery Factory;;;;;;;;;;;;;
artillery_factory_desc;Using steel and explosives, artillery is produced. Artillery greatly enhances the firepower of army divisions.;Les pi�ces d'artillerie sont produites avec de l'acier et des explosifs. L'artillerie renforce consid�rablement la puissance de feu des divisions arm�es.;Artilleriegesch�tze werden mit Stahl und Sprengstoffen produziert. Artillerie erh�ht die Feuerkraft von Armeedivisionen stark.;;;;;;;;;;;
small_arms_factory;Small Arms Factory;Usine d'armes l�g�res;Handfeuerwaffenfabrik;;;;;;;;;;;
small_arms_factory_desc;Steel and ammunitions are required to produce small arms. These are the basic equipment for all newly raised divisions.;De l'acier et des munitions sont n�cessaires pour produire des armes l�g�res. Il s'agit de l'�quipement de base de toutes les divisions nouvellement form�es.;Stahl und Munition sind zur Herstellung von Handfeuerwaffen erforderlich, die die Grundausr�stung f�r alle neuen Divisionen darstellen.;;;;;;;;;;;
explosives_factory;Explosives Factory;Usine d'explosifs;Sprengstofffabrik;;;;;;;;;;;
explosives_factory_desc;Using fertilizer and ammunition, explosives are produced. These explosives were needed mainly for artillery.;Les explosifs sont produits � partir d'engrais et de munitions. Ils �taient principalement utilis�s par l'artillerie.;Mit D�nger und Munition werden Sprengstoffe hergestellt, die haupts�chlich von der Artillerie ben�tigt werden. ;;;;;;;;;;;
ammunition_factory;Ammunition Factory;Usine de munitions;Munitionsfabrik;;;;;;;;;;;
ammunition_factory_desc;Here, a wide variety of ammunitions are produced. The prerequisites are iron, coal and sulphur.;C'est ici que sont produits diff�rents types de munitions � partir de fer, de charbon et de soufre.;Hier werden viele Arten von Munition produziert. Die Voraussetzungen sind Eisen, Kohle und Schwefel.;;;;;;;;;;;
canned_food_factory;Canned Food Factory;Usine de conserves alimentaires;Konservenfabrik;;;;;;;;;;;
canned_food_factory_desc;Iron and Cattle are necessary to produce canned food. This canned food is primarily used to provide foodstuff for the armed forces because of it's long hold-up time.;Du fer et du b�tail sont n�cessaires pour produire des conserves. Compte tenu de sa longue dur�e de conservation, ce type de nourriture est principalement destin� aux forces arm�es.;Eisen und Vieh sind zur Konservenproduktion erforderlich. Diese Konserven werden wegen ihrer langen Haltbarkeit haupts�chlich von den Streitkr�ften abgenommen.;;;;;;;;;;;
paper_mill;Paper Mill;Usine de papier;Papierm�hle;;;;;;;;;;;
paper_mill_desc;A paper mill is using lumber to produce paper. Paper is used for books, newspapers and other means of information.;Une usine de papier utilise du bois pour produire du papier. Le papier est utilis� pour les livres, les journaux et les autres moyens d'information.;In einer Papierm�hle wird Papier produziert. Papier wird zur Produktion von B�chern, Zeitungen und anderen Informationsmedien verwendet.;;;;;;;;;;;
dye_factory;Dye Factory;Usine de teinture;Farbstofffabrik;;;;;;;;;;;
dye_factory_desc;Dye could not only be extracted from plantations, but it could also be synthetically produced using coal.;La teinture pouvait �tre issue de plantations ou �tre produite de mani�re synth�tique � partir de charbon.;Farbstoffe konnten nicht nur auf Plantagen gewonnen, sondern auch synthetisch mit Kohle produziert werden.;;;;;;;;;;;
lumber_mill;Lumber Mill;Scierie;S�gem�hle;;;;;;;;;;;
lumber_mill_desc;In a lumber mill, timber is processed into lumber. Lumber can then be used for buildings, paper, ships or furniture.;La scierie transforme la mati�re premi�re en bois. Ce bois sert � construire des b�timents, des navires, des meubles ou � fabriquer du papier.;In S�gem�hlen wird Holz zu Schnittholz verarbeitet, das dann f�r Geb�ude, Papier, Schiffe oder M�bel verwendet werden kann.;;;;;;;;;;;
fabric_factory;Fabric Factory;Usine de tissus;Stofffabrik;;;;;;;;;;;
fabric_factory_desc;Cotton is processed into fabric here. Fabric is a tightly woven textile which is, among other things, used to produce sails for ships as well as clothing.;Le coton est ici transform� en tissu qui sert notamment � fabriquer les voiles des navires ainsi que des v�tements.;Baumwolle wird hier zu Stoffen verarbeitet. Stoffe sind dicht gewebte Textilien und werden unter anderem f�r Segel und Kleidung gebraucht.;;;;;;;;;;;
cement_factory;Cement Factory;Cimenterie;Betonfabrik;;;;;;;;;;;
cement_factory_desc;Cement is a building materiel used to build sturdy objects like fortresses or bridges. Coal is required to produce cement.;Le ciment est utilis� pour construire des �difices robustes comme les forteresses ou les ponts. Du charbon est n�cessaire pour produire du ciment.;Beton ist ein Baumaterial f�r solide Objekte wie Festungen oder Br�cken. Zur Betonproduktion ist Kohle notwendig.;;;;;;;;;;;
glass_factory;Glass Factory;Verrerie;Glash�tte;;;;;;;;;;;
glass_factory_desc;This factory requires coal to produce glass. Glass is used mainly for mirrors and windows.;Du charbon est n�cessaire pour produire du verre. Le verre est principalement utilis� pour produire des miroirs et des fen�tres.;Diese Fabrik braucht Kohle zur Glasproduktion. Glas wird haupts�chlich f�r Spiegeln und Fenstern verwendet.;;;;;;;;;;;
fertilizer_factory;Fertilizer Factory;Usine d�engrais;D�ngerfabrik;;;;;;;;;;;
fertilizer_factory_desc;In this factory, sulphur is processed into fertilizer. These fertilizers are used to increase the productivity of farms.;Dans cette usine, le soufre est transform� en engrais. Ce dernier permet d'am�liorer la productivit� des fermes.;In dieser Fabrik wird Schwefel zu D�nger verarbeitet. Diese D�nger werden auf Farmen zur Produktivit�tserh�hung eingesetzt.;;;;;;;;;;;
luxury_clothes_factory;Luxury Clothes Factory;Usine de v�tements de luxe;Luxuskleiderfabrik;;;;;;;;;;;
luxury_clothes_factory_desc;In this factory, regular clothes are reworked using silk to produce luxury clothes for the rich strata�s of the populace.;Dans cette usine, les v�tements ordinaires sont retrait�s avec de la soie afin de produire des v�tements de soie pour les classes sup�rieures de la population.;In dieser Fabrik werden normale Kleidungsst�cke unter Verwendung von Seide zu Kleidung f�r die reichen Bev�lkerungsschichten umgearbeitet.;;;;;;;;;;;
luxury_furniture_factory;Luxury Furniture Factory;Usine de meubles de luxe;Luxusm�belfabrik;;;;;;;;;;;
luxury_furniture_factory_desc;Here, furniture is transformed into a luxury good using tropical wood. The resulting luxury furniture is used by the rich strata�s of the population for their homes.;Les meubles sont ici transform�s en produits de luxe gr�ce � du bois exotique. Le mobilier de luxe qui en r�sulte est achet� par les classes sup�rieures de la population.;Hier werden M�bel mit Tropenh�lzern in Luxusg�ter verwandelt. Die fertigen Tropenm�bel werden von den reichen Bev�lkerungsschichten f�r ihre H�user gekauft.;;;;;;;;;;;
furniture_factory;Furniture Factory;Usine de meubles;M�belfabrik;;;;;;;;;;;
furniture_factory_desc;Furniture is made using lumber. It is a necessity for every home and thus available to the general populace.;Les meubles sont fabriqu�s avec du bois. Ils sont indispensables � tous les foyers et sont donc accessibles au grand public.;M�bel aus Schnittholz sind eine Notwendigkeit f�r jedes Heim und daher der allgemeinen Bev�lkerung zug�nglich.;;;;;;;;;;;
regular_clothes_factory;Regular Clothes Factory;Usine d'habillement;Kleiderfabrik;;;;;;;;;;;
regular_clothes_factory_desc;Fabric and dye are the prerequisites for this factory were the clothes for the general populace are produced.;Le tissu et la teinture sont indispensables � cette usine o� sont produits les v�tements destin�s au grand public.;Stoff und Farbstoffe sind die Voraussetzungen f�r diese Fabrik, in der Kleidung f�r die allgemeine Bev�lkerung produziert werden.;;;;;;;;;;;
liquor_distillery;Liquor Distillery;Distillerie;Schnapsbrennerei;;;;;;;;;;;
liquor_distillery_desc;Liquor is the alcohol available for the broad mass of the populace. Grain is the raw materiel to produce liquor.;Cette distillerie produit l'alcool accessible au grand public. Les c�r�ales constituent la mati�re premi�re n�cessaire � la production de cet alcool.;Schnaps ist der Alkohol f�r die breite Masse. Getreide dient als Rohmaterial zur Schnapsproduktion.;;;;;;;;;;;
winery;Winery;Exploitation vinicole;Winzerei;;;;;;;;;;;
winery_desc;Wine is a major status symbol for the rich strata�s of the population. A distillery uses fruit to produce wine.;Le vin est un important symbole de statut social pour les classes sup�rieures de la population. Le vin est produit � partir de fruits.;Wein ist ein wichtiges Statussymbol f�r die reichen Bev�lkerungsschichten. Eine Winzerei stellt aus Fr�chten Wein her.;;;;;;;;;;;
bank;Bank;;;;;;;;;;;;;
bank_desc;Banking institutions are financial intermediaries that accept deposits and channel those deposits into lending activities, either directly or through capital markets.;;;;;;;;;;;;;
stock_exchange;Stock Exchange;;;;;;;;;;;;;
stock_exchange_desc;Stock exchanges provide a market for the brokerage and trade of stocks and secrities. They generally offer a wide range of different financial securities.;;;;;;;;;;;;;
Petrolium-based_powerplant;Petroleum-Based Power Plant;;;;;;;;;;;;;
Petrolium-based_powerplant_desc;As coal can be burned in a power plant to produce electricity, so can petroleum.;;;;;;;;;;;;;
fort;Fort;Fort;Fort;;;;;;;;;;;
naval_base;Naval Base;Base navale;Marinest�tzpunkt;;;;;;;;;;;
railroad;Railroad;Chemin de fer;Eisenbahn;;;;;;;;;;;
Coal-fired_powerplant;Coal-Fired Power Plant;;;;;;;;;;;;;
Coal-fired_powerplant_desc;Most of the world's electricity is produced by burning coal in boilers, producing steam which drives the turbines that generate electricity.;;;;;;;;;;;;;
Cigar_factory;Cigar Factory;;;;;;;;;;;;;
Cigar_factory_desc;Cigars still remain as a sign of luxury and stature since the discovery of tobacco in the Americas.;;;;;;;;;;;;;
Cigarette_factory;Cigarette Factory;;;;;;;;;;;;;
Cigarette_factory_desc;Since cigars are expensive to manufacture, cigarettes have sprung up as a cheaper alternative for the masses.;;;;;;;;;;;;;
shoe_factory;Shoe Factory;;;;;;;;;;;;;
shoe_factory_desc;With the Industrial Revolution, even age-old industries such as shoemaking have to secure a foothold in these turbulent times through standardization and assembly lines.;;;;;;;;;;;;;
boot_factory;Boot Factory;;;;;;;;;;;;;
boot_factory_desc;This factory turns leather and iron fittings into boots, which are prized by the rich as a luxury.;;;;;;;;;;;;;
wool_mill;Wool Mill;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;
fish_cannery;Fish Cannery;;;;;;;;;;;;;
fish_cannery_desc;Fish was a extremely perishable foodstuff until the advent of the Industrial Revolution and its preserving techniques. When the first fish canneries began production, fish became a more accessible and long-lasting commodity.;;;;;;;;;;;;;
bakery;Bakery;;;;;;;;;;;;;
bakery_desc;Bakeries have been the foundation of cities since time immemorial; without grain and bread, cities as we know them could not sustain their population.;;;;;;;;;;;;
stables;Stables;;;;;;;;;;;;;
stables_desc;Cavalry remains the majority of any modern nation's army. Thus methods of raising horses that are capable of being used in war is of vital importance.;;;;;;;;;;;;;
pharmaceutical_plant;Pharmaceutical Plant;;;;;;;;;;;;;
pharmaceutical_plant_desc;A plant in which modern medicines are created, must using opiates from eastern nations.;;;;;;;;;;;;;
rum_distillery;Rum Distillery;;;;;;;;;;;;;
rum_distillery_desc;A distillery used to turn sugar into rum, first created in the New World but which quickly spread to other countries as sugar became more prevalent.;;;;;;;;;;;;;
gunpowder_factory;Gunpowder Factory;;;;;;;;;;;;;
gunpowder_factory_desc;A factory used to create gunpowder for use in early firearms.;;;;;;;;;;;;;
bronze_artillery_factory;Bronze Artillery Factory;;;;;;;;;;;;;
bronze_artillery_factory_desc;An upgraded factory creating the most modern designs of bronze artillery.;;;;;;;;;;;;;
iron_artillery_factory;Iron Artillery Factory;;;;;;;;;;;;;
iron_artillery_factory_desc;An upgraded factory creating the most modern designs of iron artillery.;;;;;;;;;;;;;
fruit_cannery;Fruit Cannery;;;;;;;;;;;;;
fruit_cannery_desc;A factory in which fruit is preserved and canned for consumption elsewhere.;;;;;;;;;;;;;
bronze_factory;Bronze Factory;;;;;;;;;;;;;
bronze_factory_desc;A factory creating bronze alloy, most commonly used in artillery but also having applications in many other industries.;;;;;;;;;;;;;
early_small_arms_factory;Early Small Arms Factory;;;;;;;;;;;;;
early_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
late_small_arms_factory;Late Small Arms Factory;;;;;;;;;;;;;
late_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
advanced_machine_parts_factory;Advanced Machine Parts Factory;;;;;;;;;;;;;
advanced_machine_parts_factory_desc;Machinery has become increasingly more sophisticated, and thus only specialized factories are able to produce the parts that are highly in demand.;;;;;;;;;;;;;
synthetic_rubber_factory;Synthetic Rubber Plant;;;;;;;;;;;;;
synthetic_rubber_factory_desc;A plant in which artificial rubber is produced, reducing the nation's reliance on natural sources.;;;;;;;;;;;;;
tropical_lumber_mill;Tropical Lumber Mill;;;;;;;;;;;;;
tropical_lumber_mill_desc;Harvesting lumber from tropical forest is a more complicated process, but results in a much wider variety of wood such as teak and mahogany.;;;;;;;;;;;;;
rubber_boot_factory;Rubber Boot Factory;;;;;;;;;;;;;
rubber_boot_factory_desc;Not merely making boots," these plants are used to produce a variety of clothing such as jackets, footwear and industrial protective gear.;;;;;;;;;;;;;
advanced_luxury_clothes_factory;Advanced Luxury Clothes Factory;;;;;;;;;;;;;
advanced_luxury_clothes_factory_desc;A more advanced version of the regular luxury clothes factory, able to produce more complex clothes from a wider variety of exotic materials.;;;;;;;;;;;;;
advanced_luxury_furniture_factory;Advanced Luxury Furniture Factory;;;;;;;;;;;;;
advanced_luxury_furniture_factory_desc;A more advanced version of the regular luxury furniture factory, able to produce more complex furniture from a wider variety of exotic materials.;;;;;;;;;;;;;
synthetic_fabric_factory;Synthetic Fabric Factory;;;;;;;;;;;;;
synthetic_fabric_factory_desc;The development of new, durable synthetic fabrics has opened up a whole new industry to satisfy the demands of clothing manufacturers.;;;;;;;;;;;;;
sugar_beet_refinery;Sugar Refinery;;;;;;;;;;;;;
sugar_beet_refinery_desc;The process of refining sugar beets into raw sugar has rapidly expanded the industry.;;;;;;;;;;;;;
newspaper;Printing Press;;;;;;;;;;;;;
newspaper_desc;The availability of cheap paper and advances in printing press technology have spawned the creation of newsprint, bringing news and culture to a literate audience both locally and abroad. To many, this is the vehicle upon which propaganda and public awareness will be based in the years to come.;;;;;;;;;;;;;
synthetic_silk_factory;Synthetic Silk Factory;;;;;;;;;;;;;
synthetic_silk_factory_desc;The creation of synthetic silk has reduced the reliance of textile factories upon natural sources, as well as reduced the cost of luxury clothing across the world.;;;;;;;;;;;;;
iron_machine_parts_factory;Iron Machine Parts Factory;;;;;;;;;;;;;
iron_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Iron and Coal are required to produce them.;;;;;;;;;;;;;
steel_machine_parts_factory;Steel Machine Parts Factory;;;;;;;;;;;;;
steel_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Steel and Coal are required to produce them.;;;;;;;;;;;;;
#crime.txt;;;;;;;;;;;;;;
anarchic_bomb_throwers;Anarchic Bomb Throwers;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;
desc_anarchic_bomb_throwers;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.;La baisse des d�penses consacr�es � la lutte contre le crime se traduit par une moindre efficacit� en termes de r�ponse aux atteintes � la s�curit� comme les soul�vements d'anarchistes.;Weniger Geld f�r die Verbrechensbek�mpfung f�hrt zu einer verringerten Reaktionsf�higkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;
citizen_guard;Citizen Guard;Garde citoyenne;B�rgerwache;;;;;;;;;;;
desc_citizen_guard;Less money for crime fighting results in lowered ability to respond to security threats like battling street gangs.;La baisse des d�penses consacr�es � la lutte contre le crime se traduit par une moindre efficacit� en termes de r�ponse aux atteintes � la s�curit� tels que les combats entre gangs.;Weniger Geld f�r die Verbrechensbek�mpfung f�hrt zu einer verringerten Reaktionsf�higkeit auf Sicherheitsrisiken wie Stra�enbanden.;;;;;;;;;;;
immoral_business;Immoral Business;Activit� immorale;Unmoralische Gesch�fte;;;;;;;;;;;
desc_immoral_business;With rising crime rates and less government control, businessmen would become more and more centred on their own profits. This results in a higher risk of collapse for the entire system, as everybody strives for personal interests.;;Mit steigenden Kriminalit�tsraten und weniger Regierungskontrolle werden sich Gesch�ftsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies f�hrt zu einem h�heren Zusammenbruchsrisiko f�r das gesamte System, da jeder seinen pers�nlichen Interessen nachgeht.;;;;;;;;;;;
machine_politics;Machine Politics;Client�lisme;Politikmaschinerie;;;;;;;;;;;
desc_machine_politics;The system of machine politics was in essence the bribery of mainly minorities by politicians using their influence. It was common to use the appointment for government jobs as a means of bribery within this system.;Le syst�me du client�lisme se traduit, par essence, par la corruption des principales minorit�s par les politiciens usant de leur influence. Les nominations � des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses haupts�chlich Minorit�ten zukommen lie�en. Innerhalb dieses Systems war es gang und g�be, Regierungsjobs zu Bestechungszwecken auszunutzen.;;;;;;;;;;;
mafia;Mafia;Mafia;Mafia;;;;;;;;;;;
desc_mafia;If the crime fighting institutions in a province become overstretched, organized crime in form of a mafia would develop. Such organizations resulted in lowered productivity in the province.;Si les institutions de lutte contre le crime d'une province sont trop sollicit�es, le crime organis� se transforme en mafia. Et la productivit� de la province baisse.;Wenn die Institutionen zur Verbrechensbek�mpfung in einer Provinz �berlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;;;;;;;;;;
rotten_boroughs;Rotten Boroughs;Bourgs pourris;Rotten Boroughs;;;;;;;;;;;
desc_rotten_boroughs;The system of rotten boroughs was a system to create such small voting districts that a certain victory could be won through plain bribery.;Le syst�me des bourgs pourris consiste � cr�er des circonscriptions �lectorales si petites qu'elles permettent une victoire certaine par le biais de la corruption.;Das System der Rotten Boroughs schaffte so kleine Wahldistrikte, dass Wahlsiege durch Bestechung gewonnen werden konnten.;;;;;;;;;;;
spoil_system;Spoil System;Syst�me des d�pouilles;Verdorbenes System;;;;;;;;;;;
desc_spoil_system;Lacking sufficient control institutions, politicians would eventually use their power and influence for their personal wealth and glory. This results in increased militancy of the whole population in the province.;� d�faut d'institutions de contr�le suffisantes, les politiciens usent de leur pouvoir et de leur influence pour assurer leur fortune et leur gloire personnelles. Cela se traduit par un militantisme accru de toute la population de la province.;Ohne ausreichende Kontrollinstitutionen nutzten Politiker schlie�lich ihre Vorrechte und ihren Einfluss, um sich pers�nliche Vorteile in Form von Reichtum und Ruhm zu verschaffen. Dies f�hrt zu erh�hter Militanz der gesamten Bev�lkerung in der Provinz.;;;;;;;;;;;
terrorist_cells;Terrorist Cells;Cellules terroristes;Terroristenzellen;;;;;;;;;;;
desc_terrorist_cells;With less security personnel around in the province, terrorists have an easier time hiding and waiting for opportunities to strike.;Avec la r�duction du personnel de s�curit� de la province, les terroristes ont moins de mal � se cacher en attendant l'occasion de frapper.;Mit weniger Sicherheitspersonal in der Provinz k�nnen Terroristen leichter in ihren Verstecken auf Gelegenheiten zum Zuschlagen warten.;;;;;;;;;;;
#event_modifiers.txt;;;;;;;;;;;;;;
government_sanitarium;Sanitarium;Sanatorium;Sanitarium;;;;;;;;;;;
desc_government_sanitarium;The Government operates a sanitarium for tuberculosis patients in this province.;Le gouvernement met un sanatorium � la disposition des tuberculeux de cette province.;Die Regierung betreibt ein Sanitarium f�r Tuberkulosepatienten in dieser Provinz.;;;;;;;;;;;
academic_confusion;Academic Confusion;Confusion acad�mique;Akademisches Durcheinander;;;;;;;;;;;
academic_confusion_desc;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.;Notre acad�mie est en proie � la panique � la suite d'un changement paradigmatique au sein de notre effectif. Tant que cela durera, notre prestige et notre recherche en p�tiront.;Nach einem Paradigmenwechsel in unserem Bildungsministerium ist unsere akademische Welt in einem Zustand totalen Durcheinanders. Solange dieser Effekt anh�lt, leiden unser Prestige und unsere Forschung darunter.;;;;;;;;;;;
liberal_agitation;Liberal Agitation;Agitation lib�rale;Liberale Agitation;;;;;;;;;;;
desc_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exalt�s de cette province soutiennent la r�volution lib�rale.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
springtime_of_nations;The Springtime of Nations!;Le Printemps des nations !;Fr�hling der Nationen!;;;;;;;;;;;
springtime_of_nations_desc;The slumbering nations of Europe awake to throw of the spectres of despotism and tyranny;Les nations endormies d'Europe se r�veillent pour lutter contre les spectres du despotisme et de la tyrannie.;Die schlummernden Nationen Europa erwachen, um die Gespenster des Despotismus und der Tyrannei zu vertreiben.;;;;;;;;;;;
global_liberal_agitation;Liberal Agitation;Agitation lib�rale;Liberale Agitation;;;;;;;;;;;
desc_global_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exalt�s soutiennent le lib�ralisme et la r�volution.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelf�ule;;;;;;;;;;;
desc_potato_blight;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'�tend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;
anti_jacobin_tract;Anti-Jacobin Tract;Tract antijacobin;Antijakobinertrakt;;;;;;;;;;;
desc_anti_jacobin_tract;A tract arguing the causes of counter-revolution, order, religion and monarchy has recieved widespread circulation in our country.;Un tract contre-r�volutionnaire en faveur de l'ordre, de la religion et de la monarchie a �t� largement diffus� dans notre pays.;Ein Traktat �ber die Gr�nde von Konterrevolution, Ordnung, Religion und Monarchie ist in unserem Land in breitem Umlauf.;;;;;;;;;;;
cholera_epidemic_small;Outbreak of Cholera;�pid�mie de chol�ra;Ausbruch der Cholera;;;;;;;;;;;
desc_cholera_epidemic_small;Cholera has broken out in this province, and threatens to spread.;Le chol�ra a fait son apparition dans cette province et l'�pid�mie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
cholera_epidemic_big;Cholera Epidemic;�pid�mie de chol�ra;Choleraepidemie;;;;;;;;;;;
desc_cholera_epidemic_big;Cholera has broken out in this province, and threatens to spread.;Le chol�ra a fait son apparition dans cette province et l'�pid�mie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
